date anger disgust fear happy sad suprise
2011/11/24 22 34 15 803 33 41 
2011/11/25 12 26 15 898 28 41 
2011/11/26 6 20 20 516 18 36 
2011/11/27 11 22 7 372 21 26 
2011/11/28 13 29 70 1043 20 29 
2011/11/29 9 31 65 838 24 38 
2011/11/30 10 30 28 986 17 27 
2011/12/01 7 19 10 811 17 34 
2011/12/02 15 20 15 1016 26 31 
2011/12/03 8 23 16 503 19 28 
2011/12/04 5 19 10 459 15 32 
2011/12/05 12 26 12 777 28 48 
2011/12/06 14 35 13 1095 30 47 
2011/12/07 14 122 7 804 20 37 
2011/12/08 17 25 19 1620 28 34 
2011/12/09 14 41 11 904 96 28 
2011/12/10 7 30 5 750 13 32 
2011/12/11 12 27 15 437 22 16 
2011/12/12 16 36 9 698 126 39 
2011/12/13 15 50 8 901 27 26 
2011/12/14 18 255 16 589 37 35 
2011/12/15 14 146 13 662 87 28 
2011/12/16 15 47 19 681 79 47 
2011/12/17 16 33 3 580 37 18 
2011/12/18 7 32 7 475 152 36 
2011/12/19 13 32 11 1056 52 29 
2011/12/20 8 36 12 1873 43 32 
2011/12/21 14 31 9 1391 25 40 
2011/12/22 11 33 13 1335 36 41 
2011/12/23 12 35 15 919 28 36 
2011/12/24 5 34 9 639 44 38 
2011/12/25 11 32 9 680 34 33 
2011/12/26 5 41 9 691 41 66 
2011/12/27 22 46 13 943 41 127 
2011/12/28 15 55 72 1118 39 106 
2011/12/29 10 59 10 986 27 82 
2011/12/30 15 125 10 1204 866 66 
2011/12/31 6 43 9 1368 249 126 
2012/01/01 3 33 4 1054 31 38 
2012/01/02 8 30 4 591 24 16 
2012/01/03 2 26 7 552 34 44 
2012/01/04 17 34 16 624 26 29 
2012/01/05 19 46 27 601 25 37 
2012/01/06 9 37 26 602 207 39 
2012/01/07 3 24 6 449 144 23 
2012/01/08 9 31 6 761 100 18 
2012/01/09 9 54 46 642 119 27 
2012/01/10 8 120 15 654 73 43 
2012/01/11 8 34 24 678 49 417 
2012/01/12 10 23 3 673 64 716 
2012/01/13 2 41 7 610 38 476 
2012/01/14 9 23 6 432 23 284 
2012/01/15 7 18 6 445 22 303 
2012/01/16 1 23 13 715 26 195 
2012/01/17 20 64 37 923 24 160 
2012/01/18 13 68 22 923 30 182 
2012/01/19 13 74 26 531 27 180 
2012/01/20 7 42 11 542 27 198 
2012/01/21 6 27 6 498 28 131 
2012/01/22 4 23 9 663 21 99 
2012/01/23 4 44 9 544 16 144 
2012/01/24 2 26 4 350 33 141 
2012/01/25 3 30 31 480 7 111 
2012/01/26 5 20 11 558 13 120 
2012/01/27 7 15 9 353 14 88 
2012/01/28 2 22 4 311 15 87 
2012/01/29 8 64 8 459 16 103 
2012/01/30 12 47 4 729 28 102 
2012/01/31 7 78 7 520 25 79 
2012/02/01 5 67 8 594 23 32 
2012/02/02 8 62 8 1097 31 45 
2012/02/03 13 55 6 810 42 38 
2012/02/04 7 33 10 616 35 30 
2012/02/05 4 40 4 609 25 39 
2012/02/06 5 42 10 1168 16 21 
2012/02/07 7 34 8 640 11 43 
2012/02/08 12 47 3 895 86 93 
2012/02/09 11 38 6 1326 27 84 
2012/02/10 1 41 14 890 27 54 
2012/02/11 5 32 10 681 21 30 
2012/02/12 8 38 7 613 23 28 
2012/02/13 2 58 10 815 26 37 
2012/02/14 8 49 11 1192 29 158 
2012/02/15 4 32 10 717 138 62 
2012/02/16 4 28 74 716 44 76 
2012/02/17 6 34 15 735 44 70 
2012/02/18 5 27 8 577 38 33 
2012/02/19 6 24 8 395 20 25 
2012/02/20 9 49 10 620 24 36 
2012/02/21 8 57 11 657 35 29 
2012/02/22 11 87 23 1207 35 34 
2012/02/23 4 59 11 817 26 40 
2012/02/24 5 48 50 702 27 37 
2012/02/25 6 52 7 557 21 31 
2012/02/26 3 39 15 520 17 31 
2012/02/27 9 107 19 634 18 37 
2012/02/28 8 50 18 789 34 39 
2012/02/29 5 59 17 911 50 41 
2012/03/01 15 61 18 1097 62 37 
2012/03/02 6 53 15 1232 89 32 
2012/03/03 9 34 10 805 20 29 
2012/03/04 11 43 15 837 16 31 
2012/03/05 9 50 12 1406 56 323 
2012/03/06 7 60 80 868 31 72 
2012/03/07 13 48 19 1103 31 68 
2012/03/08 10 49 64 1538 37 41 
2012/03/09 17 41 11 930 31 66 
2012/03/10 3 41 38 1483 45 43 
2012/03/11 5 30 11 579 90 33 
2012/03/12 13 55 16 1080 73 32 
2012/03/13 3 314 15 811 39 46 
2012/03/14 10 822 20 1468 76 51 
2012/03/15 11 88 8 2656 36 73 
2012/03/16 11 101 12 2923 40 44 
2012/03/17 7 54 14 2111 30 61 
2012/03/18 10 44 3 3127 27 83 
2012/03/19 13 48 15 1277 53 46 
2012/03/20 16 38 14 874 32 69 
2012/03/21 16 142 13 783 39 60 
2012/03/22 86 98 13 876 34 38 
2012/03/23 24 88 13 836 31 94 
2012/03/24 13 59 5 719 41 44 
2012/03/25 8 57 10 946 29 26 
2012/03/26 12 47 12 938 38 49 
2012/03/27 15 69 14 883 34 35 
2012/03/28 11 41 70 955 38 65 
2012/03/29 14 64 15 1073 115 51 
2012/03/30 14 78 13 935 47 65 
2012/03/31 17 63 12 873 37 45 
2012/04/01 16 55 10 1184 44 34 
2012/04/02 9 43 15 1346 39 32 
2012/04/03 3 41 10 1180 68 28 
2012/04/04 8 51 11 1500 29 30 
2012/04/05 5 51 9 1241 91 52 
2012/04/06 12 50 18 1302 73 40 
2012/04/07 11 38 10 1240 44 30 
2012/04/08 97 50 12 1142 41 35 
2012/04/09 214 61 15 1305 49 35 
2012/04/10 49 57 78 1167 45 47 
2012/04/11 16 60 11 1255 42 35 
2012/04/12 17 53 82 1239 39 71 
2012/04/13 14 65 18 1290 38 61 
2012/04/14 13 46 9 1025 26 70 
2012/04/15 3 40 9 1022 57 52 
2012/04/16 17 73 29 1160 51 58 
2012/04/17 12 57 14 1373 42 37 
2012/04/18 7 47 17 1327 32 53 
2012/04/19 14 55 12 1952 31 89 
2012/04/20 17 49 18 1858 36 46 
2012/04/21 5 48 11 1237 59 46 
2012/04/22 9 305 12 815 43 22 
2012/04/23 4 210 11 2084 535 36 
2012/04/24 9 51 10 1322 313 33 
2012/04/25 13 65 15 1505 180 41 
2012/04/26 8 49 18 1320 87 38 
2012/04/27 16 49 10 1335 137 57 
2012/04/28 23 50 8 1583 117 80 
2012/04/29 9 32 11 1047 73 39 
2012/04/30 8 40 9 1288 51 27 
2012/05/01 15 123 11 1153 65 22 
2012/05/02 24 229 10 1541 84 47 
2012/05/03 145 165 14 1251 57 51 
2012/05/04 75 68 9 1377 70 51 
2012/05/05 52 54 8 1085 41 28 
2012/05/06 27 49 25 1161 42 37 
2012/05/07 37 60 56 1067 49 52 
2012/05/08 22 53 24 1045 40 53 
2012/05/09 32 59 18 1128 58 100 
2012/05/10 23 57 10 1410 65 53 
2012/05/11 28 47 16 1275 79 38 
2012/05/12 31 32 11 1036 47 23 
2012/05/13 23 33 13 1383 51 55 
2012/05/14 29 33 24 1258 105 41 
2012/05/15 28 40 23 1264 142 44 
2012/05/16 59 50 65 1153 96 87 
2012/05/17 45 42 17 1523 113 60 
2012/05/18 77 51 21 1298 463 65 
2012/05/19 20 49 9 1159 223 40 
2012/05/20 14 37 11 902 137 57 
2012/05/21 24 50 23 1101 297 36 
2012/05/22 33 93 20 1440 170 37 
2012/05/23 15 66 12 1210 110 58 
2012/05/24 25 45 12 1221 137 91 
2012/05/25 47 81 16 1206 158 45 
2012/05/26 27 61 14 852 93 45 
2012/05/27 23 52 13 852 83 24 
2012/05/28 25 54 15 1103 98 41 
2012/05/29 20 56 16 1196 72 47 
2012/05/30 19 72 10 1363 87 41 
2012/05/31 15 46 9 1530 87 66 
2012/06/01 30 71 36 4026 115 68 
2012/06/02 16 72 14 1275 52 34 
2012/06/03 12 40 24 1351 55 52 
2012/06/04 17 62 21 1750 83 69 
2012/06/05 17 46 34 1396 91 71 
2012/06/06 22 60 67 1824 53 66 
2012/06/07 9 61 58 1380 59 48 
2012/06/08 20 49 15 1988 560 50 
2012/06/09 16 34 8 1008 238 25 
2012/06/10 12 51 8 837 92 28 
2012/06/11 22 67 59 1086 71 49 
2012/06/12 20 50 12 1141 196 48 
2012/06/13 18 57 13 1226 132 47 
2012/06/14 10 56 13 1401 86 53 
2012/06/15 29 61 9 1356 73 65 
2012/06/16 21 47 12 1106 57 19 
2012/06/17 16 45 13 2251 104 36 
2012/06/18 40 48 14 1379 63 66 
2012/06/19 25 70 12 1285 118 114 
2012/06/20 19 48 10 1313 70 80 
2012/06/21 13 50 45 1677 180 90 
2012/06/22 16 36 7 1713 352 62 
2012/06/23 10 56 7 1230 68 31 
2012/06/24 13 39 7 1424 59 23 
2012/06/25 30 39 19 1073 54 64 
2012/06/26 26 51 13 1530 85 39 
2012/06/27 30 57 22 1574 71 35 
2012/06/28 60 45 28 1562 117 49 
2012/06/29 82 47 20 1447 102 62 
2012/06/30 35 36 12 1654 52 32 
2012/07/01 11 34 12 1547 61 24 
2012/07/02 33 51 17 1278 72 41 
2012/07/03 29 48 16 1425 51 51 
2012/07/04 26 34 59 1553 53 40 
2012/07/05 49 39 23 1430 77 36 
2012/07/06 30 50 17 1202 74 54 
2012/07/07 15 45 9 1073 46 45 
2012/07/08 22 45 17 1190 60 36 
2012/07/09 33 58 10 1594 72 87 
2012/07/10 23 47 14 1912 191 76 
2012/07/11 22 47 42 1202 112 68 
2012/07/12 26 54 13 1310 77 78 
2012/07/13 27 51 16 1368 87 71 
2012/07/14 28 44 21 1400 55 45 
2012/07/15 28 45 13 1271 80 39 
2012/07/16 48 77 12 1920 70 62 
2012/07/17 71 40 17 2141 91 60 
2012/07/18 46 47 30 1841 63 47 
2012/07/19 31 53 18 1738 86 47 
2012/07/20 18 52 26 2601 69 54 
2012/07/21 9 55 22 2567 57 38 
2012/07/22 20 43 22 1534 43 65 
2012/07/23 18 50 28 1757 61 61 
2012/07/24 26 58 21 1641 57 62 
2012/07/25 33 56 15 1700 100 58 
2012/07/26 26 64 12 2991 71 104 
2012/07/27 26 41 16 2597 42 42 
2012/07/28 12 42 17 1725 60 609 
2012/07/29 9 38 12 1474 81 102 
2012/07/30 16 46 19 2026 499 91 
2012/07/31 10 47 35 1697 106 50 
2012/08/01 22 44 30 1780 325 48 
2012/08/02 18 70 15 1393 108 56 
2012/08/03 21 58 54 2703 65 61 
2012/08/04 24 42 10 2621 41 40 
2012/08/05 13 27 13 1717 69 104 
2012/08/06 34 64 17 1886 102 53 
2012/08/07 25 74 137 1418 132 46 
2012/08/08 18 49 45 1329 139 48 
2012/08/09 25 40 11 1433 64 55 
2012/08/10 20 46 39 1947 74 62 
2012/08/11 7 43 38 1453 58 43 
2012/08/12 17 29 17 1248 62 47 
2012/08/13 22 58 19 1411 59 75 
2012/08/14 33 47 23 1385 85 56 
2012/08/15 12 29 31 1485 118 123 
2012/08/16 31 75 29 1509 118 103 
2012/08/17 25 32 35 2884 113 85 
2012/08/18 12 39 30 2171 112 60 
2012/08/19 16 31 50 1479 37 37 
2012/08/20 24 50 26 1939 63 70 
2012/08/21 17 59 70 2045 81 66 
2012/08/22 47 43 26 2188 55 73 
2012/08/23 54 44 39 2910 73 73 
2012/08/24 19 40 27 4070 62 88 
2012/08/25 15 70 29 2245 53 52 
2012/08/26 25 33 14 1555 77 47 
2012/08/27 28 53 31 1776 65 54 
2012/08/28 34 62 27 1833 53 71 
2012/08/29 34 55 28 1680 52 168 
2012/08/30 24 56 19 1413 98 124 
2012/08/31 29 76 21 2860 70 75 
2012/09/01 22 54 22 1834 68 100 
2012/09/02 26 51 19 1703 68 70 
2012/09/03 32 64 15 1979 89 86 
2012/09/04 20 62 28 2006 107 114 
2012/09/05 23 59 23 2377 96 127 
2012/09/06 23 48 56 1664 139 118 
2012/09/07 24 56 33 3106 91 181 
2012/09/08 20 54 15 1707 95 195 
2012/09/09 26 52 18 1313 81 200 
2012/09/10 24 67 28 2130 99 235 
2012/09/11 30 65 15 1943 132 187 
2012/09/12 22 59 26 2599 160 137 
2012/09/13 20 45 18 1852 195 149 
2012/09/14 22 83 27 3454 214 185 
2012/09/15 21 59 13 1913 169 177 
2012/09/16 19 62 23 1179 101 108 
2012/09/17 53 83 24 1766 100 130 
2012/09/18 28 51 23 2423 90 120 
2012/09/19 16 77 32 2621 86 120 
2012/09/20 15 61 39 3294 100 349 
2012/09/21 24 68 27 3951 63 119 
2012/09/22 7 37 16 2345 68 101 
2012/09/23 13 45 18 1949 61 105 
2012/09/24 27 40 27 2208 79 155 
2012/09/25 30 48 25 2216 79 183 
2012/09/26 16 62 26 2129 72 198 
2012/09/27 30 74 30 2238 53 247 
2012/09/28 23 54 28 3891 74 109 
2012/09/29 26 59 25 3901 53 71 
2012/09/30 19 52 25 7931 52 43 
2012/10/01 19 66 23 4097 49 37 
2012/10/02 13 41 13 1999 53 55 
2012/10/03 7 57 19 1660 64 45 
2012/10/04 21 94 22 1734 66 64 
2012/10/05 17 51 22 1970 80 63 
2012/10/06 12 72 31 2451 72 58 
2012/10/07 21 44 21 2532 72 63 
2012/10/08 22 67 26 2169 72 79 
2012/10/09 35 101 25 1888 73 95 
2012/10/10 34 79 22 2166 78 97 
2012/10/11 38 146 30 2324 83 111 
2012/10/12 44 96 21 2399 132 125 
2012/10/13 22 99 36 2478 85 200 
2012/10/14 20 72 58 2509 85 69 
2012/10/15 27 87 28 3476 126 83 
2012/10/16 34 106 23 2483 158 119 
2012/10/17 43 103 37 2745 112 69 
2012/10/18 28 139 73 3573 91 62 
2012/10/19 31 116 69 2542 80 86 
2012/10/20 20 86 54 2231 65 57 
2012/10/21 27 98 31 1746 78 80 
2012/10/22 29 116 63 3194 84 95 
2012/10/23 23 125 64 3758 95 94 
2012/10/24 38 104 74 3459 160 89 
2012/10/25 36 126 63 3343 131 116 
2012/10/26 34 89 28 2680 101 102 
2012/10/27 22 108 33 2487 55 84 
2012/10/28 28 136 30 2504 95 85 
2012/10/29 20 147 36 2974 78 131 
2012/10/30 39 112 65 2711 75 144 
2012/10/31 50 182 57 3266 95 189 
2012/11/01 32 143 50 3123 92 160 
2012/11/02 33 98 48 3190 87 158 
2012/11/03 29 83 34 3354 93 107 
2012/11/04 24 86 41 2097 90 82 
2012/11/05 38 86 58 2995 98 137 
2012/11/06 38 84 36 3719 91 142 
2012/11/07 34 90 43 2619 90 82 
2012/11/08 46 152 46 2835 107 78 
2012/11/09 64 97 43 2843 167 132 
2012/11/10 36 72 31 2805 87 85 
2012/11/11 37 79 45 2761 102 105 
2012/11/12 39 88 27 2582 101 135 
2012/11/13 36 83 33 2955 148 99 
2012/11/14 40 63 35 2603 107 73 
2012/11/15 69 138 55 2496 151 75 
2012/11/16 41 86 36 2512 164 78 
2012/11/17 42 82 40 2813 107 56 
2012/11/18 26 76 31 2267 92 66 
2012/11/19 31 95 54 2727 82 72 
2012/11/20 29 92 49 3119 105 93 
2012/11/21 36 101 30 2849 94 74 
2012/11/22 47 131 91 3393 140 82 
2012/11/23 32 75 30 2725 93 72 
2012/11/24 24 85 42 2838 89 70 
2012/11/25 32 102 40 2166 98 67 
2012/11/26 23 74 32 3279 110 97 
2012/11/27 33 111 29 3367 93 90 
2012/11/28 37 87 32 3182 100 146 
2012/11/29 39 160 48 3194 104 88 
2012/11/30 32 114 52 4088 111 93 
2012/12/01 46 87 35 2682 98 62 
2012/12/02 28 67 32 2888 112 65 
2012/12/03 38 100 38 3047 137 73 
2012/12/04 36 117 43 3587 128 86 
2012/12/05 90 106 31 3611 152 93 
2012/12/06 60 207 62 5557 199 110 
2012/12/07 56 107 50 4282 176 158 
2012/12/08 37 113 39 5355 187 125 
2012/12/09 39 103 27 3973 111 117 
2012/12/10 50 110 33 3901 89 184 
2012/12/11 65 116 35 4416 140 150 
2012/12/12 62 100 47 4903 144 206 
2012/12/13 188 239 87 5720 149 129 
2012/12/14 67 166 52 5307 128 157 
2012/12/15 32 111 67 4016 113 105 
2012/12/16 47 108 31 3651 119 118 
2012/12/17 46 100 43 4228 105 156 
2012/12/18 37 127 45 3937 159 262 
2012/12/19 67 126 41 4480 137 282 
2012/12/20 46 108 64 5384 168 250 
2012/12/21 30 99 77 3643 108 133 
2012/12/22 13 61 18 2636 72 61 
2012/12/23 3 40 18 2474 23 32 
2012/12/24 7 36 6 2212 22 33 
2012/12/25 4 5 3 716 6 12 
2012/12/26 0 0 0 28 1 0 
2012/12/27 0 0 0 0 0 0 
2012/12/28 0 0 0 0 0 0 
2012/12/29 0 0 0 0 0 0 
2012/12/30 0 0 0 0 0 0 
2012/12/31 0 0 0 0 0 0 
